,id,neighbourhood,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,host_since,host_is_superhost,bathrooms,bedrooms,beds,bed_type,cleaning_fee,guests_included,extra_people,maximum_nights,instant_bookable,cancellation_policy,price
23,1810,1,1,3,75,203,1.0,2,0,15,False,1.0,0,1,True,500,1,0,25,True,3,1
24,9187,1,2,1,10,198,0.5,3,350,14,False,1.0,1,1,True,0,1,500,1000,False,3,1
25,9154,2,1,2,1,197,0.09,6,75,17,True,1.0,1,3,True,1000,1,0,1000,False,2,2
26,2487,1,1,2,75,203,1.0,1,350,14,True,1.0,0,1,True,1000,1,0,1000,False,1,3
27,1699,1,1,2,15,191,0.2,5,176,14,True,1.0,0,2,True,1000,2,1000,1000,True,1,3
28,13032,1,1,1,3,201,0.5,6,350,1912,True,1.0,0,2,True,500,3,600,1000,True,3,2
29,7361,1,2,1,5,198,0.2,2,350,16,True,1.0,1,1,True,500,1,0,1000,False,1,1
30,2076,11,1,6,75,1912,1.0,1,250,15,False,1.0,0,1,True,0,1,0,50,True,1,2
31,9292,1,1,6,5,1910,0.2,1,150,15,False,1.0,1,1,True,2000,1,0,50,True,1,2
32,9591,1,1,3,10,199,0.5,6,75,12,False,1.0,2,2,True,3000,1,0,1000,True,1,4
33,9821,15,1,1,30,203,3.0,1,350,17,False,1.0,1,1,True,100,1,0,1000,False,2,2
34,5534,2,1,2,5,1912,0.2,6,350,17,True,2.5,2,5,True,1000,1,0,1000,False,1,4
35,13609,2,1,6,2,203,0.2,1,350,20,True,1.0,2,3,True,1000,1,0,250,False,2,4
36,12720,2,2,1,1,1912,0.1,1,150,18,True,1.0,1,1,True,0,1,0,0,True,2,1
37,6824,15,1,5,30,202,1.8,1,1,18,False,2.0,2,2,True,1000,4,1500,25,False,3,4
38,12209,2,1,2,10,203,1.0,4,1,12,True,2.0,2,4,True,500,3,500,50,False,2,3
39,5558,9,1,3,3,202,0.1,2,75,12,True,1.0,1,2,True,1000,3,1000,1000,True,2,3
40,8707,14,1,3,10,203,0.5,2,1,16,False,1.5,2,3,True,1000,2,700,25,True,3,3
41,9574,1,1,2,20,203,1.8,6,150,192,False,1.0,0,2,True,2000,1,0,50,False,1,3
42,13186,9,1,3,1,203,0.2,1,150,1912,True,1.0,1,2,True,1000,1,0,25,True,2,2
43,10133,1,1,2,10,199,0.75,1,250,16,False,1.0,2,3,True,500,1,0,1000,True,3,4
44,4441,6,1,2,15,18,0.2,1,75,17,True,1.0,1,1,True,1000,1,400,1000,True,1,2
45,6838,15,1,3,30,203,1.8,1,150,16,False,1.0,1,1,True,1000,1,700,1000,True,2,2
46,12250,1,1,1,3,201,0.5,3,100,18,False,1.0,1,1,True,3000,1,300,1000,False,1,1
47,4810,12,1,6,15,203,0.5,4,150,12,False,2.5,2,4,True,4000,1,0,1000,True,3,4
48,4754,1,1,3,1,17,0.03,1,75,17,True,1.0,2,2,True,1000,1,0,1000,True,2,4
49,12559,3,1,1,1,201,0.1,6,200,13,False,3.0,3,3,True,4000,6,1000,1000,True,3,4
50,6988,5,1,4,20,203,1.0,1,150,18,True,1.0,1,1,True,1000,1,0,25,True,1,2
51,9950,1,1,1,1,194,0.07,1,0,14,True,1.0,1,1,True,0,1,0,0,True,2,2
52,7625,4,1,3,30,204,1.8,1,350,18,True,1.0,1,3,True,500,2,400,25,False,1,2
53,414,1,1,2,50,202,0.5,1,350,12,True,1.0,1,0,True,2000,2,600,1000,False,3,4
54,13062,2,1,2,5,203,1.0,1,0,18,False,2.5,1,2,True,500,1,0,1000,False,2,2
55,8361,15,1,2,30,203,1.8,1,350,16,True,1.0,1,0,True,1000,1,0,1000,False,3,3
56,8584,1,1,6,5,196,0.2,1,350,16,True,1.0,2,3,True,1000,4,0,1000,True,3,2
57,343,6,2,3,2,18,0.03,2,350,12,True,1.0,1,1,True,1000,1,1250,1000,True,1,2
58,12625,3,1,1,5,203,0.75,2,176,199,True,1.0,1,2,True,2000,2,0,1000,False,2,2
59,6848,5,1,3,10,191,0.5,1,75,17,True,1.0,0,1,True,1000,1,0,0,False,3,3
60,13302,1,1,6,3,203,0.75,3,75,18,True,1.0,1,2,True,1000,1,0,1000,False,1,2
61,1081,8,1,6,1,197,0.09,6,176,11,True,1.0,0,1,True,2000,1,0,250,True,1,1
62,4636,1,1,3,30,203,1.0,2,75,17,False,1.5,1,1,True,500,1,0,50,True,1,3
63,5110,15,1,6,5,18,0.1,1,0,17,True,1.0,1,1,True,0,1,0,25,True,3,2
64,224,4,1,3,100,201,1.0,6,250,12,False,1.5,1,2,True,2000,2,600,1000,True,1,2
65,7252,1,1,2,50,205,3.0,2,100,13,False,1.0,1,1,True,1000,1,300,50,True,2,4
66,11876,10,1,1,10,203,1.0,6,75,14,False,1.5,1,2,True,1000,1,600,1000,True,1,3
67,2024,4,1,5,20,18,0.2,1,150,15,True,1.0,0,2,True,3000,1,0,1000,True,3,3
68,11409,15,1,2,8,204,0.75,2,300,18,False,1.0,1,1,True,500,1,0,1000,False,3,1
69,4220,1,1,5,100,203,3.0,1,75,17,False,1.0,1,3,True,1000,2,300,50,True,1,3
70,11554,3,1,1,20,203,1.8,4,150,13,True,1.0,0,1,True,1000,1,0,1000,False,3,3
71,9734,1,2,2,10,1912,0.75,1,75,15,True,1.0,1,1,True,0,1,0,0,True,2,1
72,3963,2,1,3,2,17,0.05,2,0,16,True,1.0,1,1,True,100,1,0,25,True,3,1
73,6155,2,1,6,30,203,1.8,1,350,18,True,1.0,2,3,True,0,1,0,250,False,2,2
74,5843,5,1,3,3,1912,0.2,2,150,14,False,1.0,0,1,True,1000,1,300,1000,True,3,2
75,6995,1,1,4,10,1912,0.5,2,350,13,True,1.0,1,1,True,2000,1,0,1000,False,2,4
76,6157,15,1,3,3,18,0.1,1,350,16,True,1.0,2,2,True,1000,2,1000,25,True,2,3
77,5904,1,1,6,5,18,0.2,2,75,18,True,1.0,0,1,True,0,1,0,50,True,1,1
78,5914,9,1,3,1,192,0.06,3,50,16,False,2.5,3,5,True,2000,1,0,0,False,1,4
79,3174,1,1,6,50,201,1.0,6,300,11,True,1.5,2,1,True,2000,1,0,1000,False,2,2
80,6487,1,1,3,30,203,1.0,1,150,12,False,1.0,1,1,True,0,1,0,50,False,2,2
81,4764,1,1,3,20,193,0.5,6,350,11,False,1.0,1,1,True,2000,2,0,1000,True,1,4
82,10157,1,1,1,30,203,1.8,6,0,18,False,1.0,1,1,True,1000,2,0,25,False,1,4
83,504,1,1,6,30,206,0.5,1,150,10,True,1.0,1,1,True,4000,1,0,50,True,2,3
84,3401,1,1,6,3,1912,0.07,1,350,16,True,1.0,2,3,True,4000,1,0,1000,True,1,3
85,13641,2,1,1,3,204,0.5,1,250,199,True,1.0,1,1,True,4000,1,0,1000,False,1,1
86,8444,3,1,3,20,202,1.0,1,350,18,True,1.0,1,3,True,0,2,600,1000,False,2,3
87,10401,11,1,4,1,195,0.08,1,0,15,True,1.0,1,1,True,1000,2,0,1000,True,3,2
88,7772,15,1,1,5,203,0.5,4,300,16,False,1.0,1,3,True,500,2,400,1000,False,2,3
89,8554,5,1,6,1,204,0.5,1,1,14,True,1.0,0,0,True,1000,1,1000,50,True,1,2
90,3898,14,1,1,30,1910,0.75,1,300,15,True,1.0,1,2,True,2000,1,0,1000,True,3,1
91,6415,2,1,2,3,193,0.1,1,176,16,True,1.0,1,3,True,1000,1,0,1000,False,2,4
92,11146,1,1,2,30,203,3.0,1,75,197,False,1.0,0,1,True,100,1,0,250,False,3,2
93,10908,4,1,1,10,201,0.75,1,350,196,False,2.0,3,5,True,4000,5,0,1000,False,2,4
94,4691,2,1,2,10,201,0.5,1,50,17,False,1.5,2,3,True,1000,1,0,25,False,1,4
95,3200,8,1,3,15,194,0.2,1,150,15,True,1.0,1,2,True,2000,1,0,25,True,2,4
96,2054,15,1,1,10,203,1.0,4,350,11,True,2.0,2,3,True,2000,4,600,1000,False,1,4
97,763,1,1,5,3,1911,0.1,1,350,11,True,1.5,2,3,True,1000,3,0,100,False,1,4
98,9336,8,1,2,3,1912,0.2,1,0,192,True,1.0,2,2,True,1000,3,300,50,False,3,1
99,7433,15,1,2,30,202,1.0,1,150,18,False,1.0,0,0,True,100,1,0,1000,False,3,1
100,11331,1,1,6,10,202,1.8,1,176,197,True,1.0,0,1,True,2000,1,0,50,True,3,3
101,10088,6,1,1,3,202,0.2,2,75,18,True,1.0,1,1,True,1000,1,0,1000,True,2,2
102,2769,2,1,3,20,201,0.5,3,75,16,False,1.5,1,0,True,100,1,0,1000,True,1,3
103,7426,1,1,3,3,18,0.1,2,350,16,True,1.0,0,1,True,500,1,0,25,False,2,3
104,1061,2,1,3,3,17,0.07,1,350,14,True,1.0,1,1,True,1000,1,0,250,True,3,2
105,3884,1,1,6,75,203,1.8,2,75,16,False,1.0,0,1,True,1000,1,0,1000,False,1,2
106,8678,1,1,6,1,194,0.07,6,300,11,True,1.0,0,2,True,3000,3,0,1000,False,2,4
107,13425,1,1,3,3,203,0.75,3,1,16,False,1.0,1,2,True,3000,1,0,1000,False,1,4
108,9040,1,1,1,5,196,0.2,2,350,16,True,1.0,1,1,True,500,1,0,0,True,2,1
109,9237,12,1,2,20,203,1.0,1,150,16,True,1.0,1,1,True,1000,1,0,100,False,2,2
110,3915,1,1,2,30,1912,0.75,1,75,17,True,2.0,1,1,True,1000,1,0,250,False,3,4
111,780,1,1,1,150,203,1.8,3,350,13,True,1.0,1,1,True,1000,1,700,1000,True,1,2
112,6904,8,1,4,30,203,1.0,1,150,18,True,1.0,0,2,True,1000,1,0,1000,True,1,2
113,6299,11,3,2,8,18,0.2,1,75,18,True,1.0,1,2,True,0,1,0,0,True,2,1
114,12424,3,1,2,15,203,1.8,6,350,15,True,1.0,0,1,True,1000,2,1000,1000,True,2,2
115,9111,4,1,3,2,201,0.2,1,50,16,True,2.0,3,5,True,0,1,0,25,False,3,3
116,1995,9,1,4,30,198,0.5,1,350,15,True,2.0,2,2,True,1000,1,1000,25,True,2,3
117,12813,4,1,5,10,203,1.0,4,350,16,False,1.0,1,5,True,2000,1,0,100,False,2,4
118,9756,15,1,3,3,203,0.2,3,350,15,True,1.5,1,4,True,1000,2,700,1000,False,1,3
119,10751,2,1,3,15,202,1.0,1,350,13,False,1.0,1,3,True,1000,1,0,1000,False,3,3
120,198,3,1,5,2,15,0.03,1,0,12,True,1.0,1,1,True,1000,1,300,25,False,3,2
121,6997,1,1,3,30,203,1.0,2,150,13,False,1.0,0,1,True,1000,1,0,50,True,1,2
122,7171,15,1,2,50,203,3.0,3,176,17,True,1.0,1,3,True,500,1,0,1000,False,3,2
123,7624,1,1,2,30,202,1.8,3,350,16,False,1.0,1,1,True,1000,2,1250,50,False,3,3
124,392,2,1,3,100,202,1.0,4,350,11,True,1.0,1,0,True,1000,2,1500,250,True,3,1
125,10199,1,1,3,20,203,1.8,6,350,13,False,1.0,0,1,True,3000,1,0,100,False,3,3
126,2847,14,1,3,3,202,0.5,1,100,16,True,1.0,1,1,True,500,1,0,0,False,2,2
127,1266,2,1,6,30,205,1.8,1,300,14,False,1.0,0,1,True,0,2,0,1000,False,1,2
128,8776,15,1,4,10,201,0.5,1,350,18,True,1.0,1,1,True,0,1,0,25,True,2,1
129,10407,1,1,2,1,199,0.1,6,350,12,True,1.0,2,4,True,2000,3,300,1000,False,2,4
130,3473,1,1,2,5,17,0.1,1,150,16,True,1.0,1,3,True,100,2,1,25,False,2,1
131,3561,11,1,3,3,18,0.1,1,0,15,True,1.0,1,2,True,100,2,300,1000,True,2,1
132,11631,1,1,2,5,203,0.5,1,176,13,True,1.0,2,5,True,1000,1,0,1000,True,3,4
133,1820,15,1,1,100,203,1.8,5,200,15,True,1.0,0,2,True,0,1,0,1000,True,3,2
134,2397,1,1,2,50,203,1.0,6,350,12,True,1.0,0,4,True,1000,2,400,1000,False,3,3
135,2449,1,1,3,15,202,0.2,6,300,14,True,1.0,1,3,True,1000,2,300,1000,True,1,2
136,3084,10,1,3,20,202,0.5,4,176,16,True,1.0,0,1,True,100,1,0,1000,False,1,1
137,2388,1,1,6,50,203,1.0,6,350,15,True,1.0,1,1,True,2000,1,0,1000,False,3,1
138,4808,1,1,6,15,204,0.2,1,350,15,True,1.0,1,1,True,100,1,0,1000,True,2,1
139,12555,1,1,2,3,202,0.5,2,176,16,True,2.5,2,2,True,1000,1,0,0,True,1,4
140,1030,1,1,6,75,204,1.0,6,300,12,False,1.5,0,2,True,1000,1,0,500,True,1,1
141,11585,1,1,3,8,206,1.0,1,150,14,False,1.0,1,1,True,0,2,0,100,True,2,2
142,7056,1,1,3,20,206,1.0,3,75,18,True,1.0,1,2,True,1000,1,0,1000,True,2,2
143,12839,9,1,5,3,202,0.5,1,176,12,True,1.0,2,3,True,1000,3,0,25,False,1,3
144,6900,4,1,6,1,18,0.05,2,350,16,True,1.0,1,3,True,1000,1,0,100,True,2,3
145,1792,10,1,1,200,206,3.0,6,350,14,True,1.0,1,2,True,1000,2,0,1000,True,1,3
146,4653,15,1,2,30,202,0.75,1,0,15,True,1.0,1,1,True,1000,1,0,1000,True,1,2
147,2393,8,2,2,2,191,0.06,6,300,12,False,1.0,1,2,True,0,1,400,1000,True,1,1
148,8249,12,1,3,1,18,0.05,6,1,15,True,1.0,1,1,True,500,1,0,1000,True,1,2
149,1282,1,1,5,75,205,1.0,3,100,14,False,2.0,2,3,True,2000,5,300,100,False,3,4
150,8144,3,1,2,3,193,0.1,1,176,16,False,1.0,1,3,True,1000,3,300,0,True,3,3
151,13263,5,1,2,1,201,0.1,1,150,16,True,1.0,2,3,True,1000,1,0,0,True,3,3
152,5398,1,1,2,2,191,0.07,1,350,18,True,1.0,0,1,True,1000,1,0,250,False,2,4
153,3037,15,1,6,1,18,0.04,2,75,16,True,2.0,1,2,True,1000,1,0,1000,True,1,3
154,792,15,2,3,30,203,0.2,1,75,13,True,1.0,2,2,True,1000,2,1250,1000,True,3,4
155,3158,1,1,6,30,203,1.0,1,100,14,False,1.0,1,1,True,1000,1,300,25,True,3,2
156,11428,1,1,3,2,199,0.2,1,350,16,True,1.0,1,2,True,500,1,0,1000,False,2,4
157,11388,1,1,3,3,1911,0.2,6,350,12,True,1.0,0,0,True,0,1,0,1000,True,3,4
158,2039,10,1,6,15,18,0.2,1,0,15,True,1.0,0,1,True,100,1,0,1000,True,1,1
159,13567,5,1,1,2,202,0.2,1,75,18,True,1.0,1,1,True,1000,1,800,1000,False,2,3
160,6560,2,1,6,10,1912,0.5,1,250,16,True,1.0,2,2,True,3000,1,0,1000,True,2,4
161,3539,3,2,1,5,196,0.1,1,176,16,True,1.0,1,1,True,1000,1,700,1000,True,1,2
162,9011,4,1,1,2,194,0.1,1,350,18,True,1.0,0,1,True,100,1,400,1000,True,2,1
163,4043,15,2,1,50,202,1.0,4,300,16,False,2.0,1,1,True,500,1,1000,25,False,3,2
164,11762,11,1,2,15,203,1.0,1,350,199,True,1.0,0,0,True,100,1,0,0,False,2,1
165,4776,8,2,1,5,196,0.2,1,0,14,True,1.0,1,1,True,500,1,0,0,False,2,1
166,7894,9,2,2,20,203,1.0,3,176,18,True,1.5,1,1,True,0,1,0,1000,False,3,1
167,8197,9,1,1,5,194,0.2,1,75,17,True,1.0,1,3,True,1000,2,600,100,False,3,3
168,12257,13,1,6,3,204,0.2,6,176,16,True,1.5,1,2,True,1000,1,0,1000,False,2,4
169,5116,1,1,3,3,194,0.1,6,350,16,True,1.0,1,2,True,1000,2,0,1000,True,1,1
170,5466,1,2,1,20,204,1.0,1,350,18,False,1.0,1,1,True,0,1,0,1000,True,1,1
171,8742,8,2,2,5,197,0.2,1,150,17,True,1.0,1,1,True,100,1,0,1000,False,2,1
172,5936,2,1,4,10,204,0.5,2,176,18,False,1.0,1,1,True,0,1,0,1000,True,3,1
173,112,2,1,2,3,1910,0.07,3,176,11,True,0.0,0,1,True,1000,2,600,500,True,2,1
174,4434,1,1,1,30,1912,1.0,1,350,17,True,1.0,1,1,True,1000,2,0,0,True,2,4
175,6437,2,1,3,50,203,1.8,1,350,15,False,1.0,1,0,True,1000,1,0,1000,False,3,1
176,4500,3,1,5,3,18,0.1,6,350,12,True,1.0,1,2,True,0,1,0,1000,True,3,4
177,12616,1,1,2,3,201,0.5,1,176,14,True,1.0,0,1,True,1000,2,0,25,False,1,2
178,4227,1,1,6,15,204,0.75,1,176,13,False,1.0,1,1,True,0,2,300,1000,False,1,3
179,1078,15,2,6,8,201,0.1,6,250,12,False,1.0,1,1,True,0,1,0,1000,False,1,3
180,5980,1,1,1,50,194,1.8,1,350,18,True,1.0,2,3,True,500,1,0,0,False,1,4
181,11542,15,1,6,1,1911,0.1,2,150,196,True,1.0,1,1,True,500,1,0,1000,False,1,2
182,12302,11,1,1,5,202,0.75,6,176,197,True,1.0,1,1,True,500,1,0,1000,True,2,4
183,1998,2,1,4,10,203,0.2,6,100,14,False,1.5,1,1,True,3000,2,1500,1000,False,2,4
184,3378,1,1,1,150,206,4.0,6,350,11,True,1.0,3,4,True,1000,2,300,500,True,4,4
185,12132,15,1,3,1,1911,0.1,1,0,1910,True,1.0,0,1,True,1000,1,1000,0,True,1,1
186,4941,3,1,3,50,1912,1.8,2,350,14,False,1.0,1,1,True,1000,1,0,1000,True,3,3
187,5420,9,1,1,1,18,0.05,1,0,17,True,1.5,1,2,True,1000,1,1000,1000,True,2,1
188,4101,15,1,2,2,1911,0.1,4,350,16,False,2.0,3,3,True,1000,5,300,0,True,3,4
189,8805,2,1,4,20,201,1.0,2,176,16,False,1.0,1,2,True,1000,2,0,1000,True,3,3
190,4657,9,1,3,15,197,0.2,4,350,11,True,1.0,1,1,True,500,2,300,1000,False,3,1
191,12686,1,1,2,8,203,1.0,6,150,13,True,1.0,1,1,True,1000,1,0,0,False,1,2
192,7934,1,1,5,5,205,0.2,6,350,16,True,1.0,0,0,True,1000,2,1000,50,True,1,3
193,9123,15,1,5,5,202,0.2,1,150,17,True,1.0,1,1,True,1000,1,400,100,False,3,3
194,8018,5,1,3,15,201,0.75,5,0,15,True,1.0,0,1,True,500,1,300,1000,True,2,1
195,813,1,1,2,75,203,1.8,2,350,13,False,1.0,2,4,True,1000,5,1250,1000,True,1,4
196,11131,3,1,3,15,203,1.0,6,1,11,False,1.0,1,2,True,1000,2,600,25,True,1,2
197,3697,2,1,6,75,203,1.8,5,350,15,False,1.0,1,1,True,1000,2,300,100,False,3,1
198,4662,2,1,1,50,203,1.0,3,75,13,True,1.0,1,4,True,500,2,800,50,True,1,2
199,10662,2,1,3,10,203,0.75,1,350,196,True,1.0,0,1,True,1000,1,0,1000,True,3,3
200,7755,15,1,1,8,197,0.2,1,150,17,True,1.0,0,1,True,1000,1,0,1000,True,2,1
201,1420,15,1,4,5,17,0.09,1,0,14,True,1.0,1,1,True,100,1,200,1000,True,3,1
202,263,2,1,3,10,201,0.2,1,150,12,False,1.0,1,2,True,3000,1,0,250,False,1,4
203,3093,1,2,1,5,18,0.1,1,75,16,True,2.0,1,1,True,100,1,600,0,False,2,1
204,8147,1,1,2,50,202,3.0,1,0,17,False,1.5,1,1,True,500,1,0,25,False,3,3
205,7583,1,1,2,10,201,0.5,6,350,14,True,1.0,0,1,True,1000,1,0,50,False,2,2
206,5712,5,2,2,1,198,0.09,4,75,11,True,1.0,1,1,True,100,1,500,0,True,3,2
207,1144,11,1,4,5,203,0.2,6,75,13,True,1.0,1,1,True,1000,1,0,250,True,1,3
208,4825,1,1,3,50,203,1.8,6,350,13,True,1.0,2,3,True,2000,4,0,1000,True,1,4
209,8897,1,1,1,10,203,0.75,6,350,18,True,1.0,0,1,True,2000,1,300,1000,False,3,3
210,5857,1,2,1,30,201,1.8,1,350,18,False,1.0,1,1,True,100,1,0,1000,True,3,1
211,11860,3,1,1,1,201,0.1,1,176,16,True,2.0,1,1,True,500,1,0,1000,False,2,4
212,3796,9,1,1,15,194,0.2,3,0,15,True,1.5,2,3,True,1000,4,700,1000,False,3,3
213,2196,1,1,2,3,203,0.75,1,75,14,True,1.0,1,1,True,1000,1,0,0,False,2,2
214,10620,6,1,6,20,203,1.8,6,250,13,True,1.0,1,2,True,1000,2,0,100,False,3,1
215,11900,1,1,1,5,204,0.5,1,1,14,True,1.5,1,1,True,0,1,0,0,False,2,4
216,6767,1,1,2,30,203,1.8,4,300,17,False,1.0,0,3,True,500,3,600,1000,False,3,3
217,11483,1,2,6,1,206,1.0,6,300,12,True,2.0,1,0,True,3000,1,700,250,True,1,1
218,10388,1,2,2,2,201,0.2,5,350,16,True,1.0,1,1,True,500,1,0,1000,True,2,1
219,11797,5,1,2,1,1911,0.1,1,75,18,True,1.0,1,1,True,1000,1,0,25,False,3,4
220,6471,15,1,3,30,203,1.8,5,250,17,False,2.0,2,3,True,1000,1,0,50,False,2,3
221,13398,3,1,3,3,203,0.5,2,350,15,False,1.0,1,1,True,500,1,0,1000,False,2,1
222,7931,11,1,2,30,203,1.0,1,150,18,True,1.5,2,4,True,1000,1,600,1000,False,2,4
223,11368,8,1,3,3,1910,0.2,6,300,18,True,1.0,1,2,True,0,1,300,1000,False,2,2
224,450,1,1,3,15,202,0.1,5,350,11,True,1.0,1,1,True,2000,1,0,1000,True,1,1
225,4998,2,1,3,20,201,0.75,1,200,15,True,1.0,0,1,True,1000,1,0,1000,True,3,4
226,1875,8,1,4,5,17,0.1,2,350,14,True,1.0,1,1,True,1000,1,0,1000,True,3,3
227,7059,8,2,2,1,18,0.05,1,75,15,True,1.0,1,1,True,500,1,700,0,True,2,1
228,7733,4,1,5,10,206,0.5,1,100,18,False,1.0,1,1,True,2000,1,0,50,True,1,3
229,11562,10,1,3,5,1912,0.5,1,200,198,True,1.5,2,2,True,1000,1,0,250,True,1,2
230,889,1,2,1,100,203,1.0,5,350,12,False,1.0,1,1,True,500,1,0,1000,False,1,1
231,6809,4,1,3,15,202,0.75,1,176,13,False,1.0,1,1,True,500,1,0,1000,True,3,3
232,2250,3,1,1,5,201,0.1,6,300,12,True,1.0,0,2,True,0,1,0,1000,True,2,3
233,5591,1,1,3,3,18,0.1,1,350,15,True,1.0,1,1,True,1000,2,0,25,False,3,2
234,57,15,1,2,5,198,0.05,6,1,9,True,0.0,1,2,True,1000,3,0,1000,False,1,4
235,9476,6,1,5,5,203,0.2,5,1,18,True,1.0,0,1,True,0,1,300,50,True,2,1
236,3456,2,1,2,3,196,0.1,6,350,16,False,1.0,1,3,True,0,2,1500,1000,False,3,4
237,13798,1,1,5,1,204,0.2,6,350,16,False,1.0,1,2,True,1000,1,0,100,False,3,3
238,2642,2,2,1,5,18,0.1,1,0,16,True,1.0,1,1,True,100,1,0,0,True,1,1
239,7634,1,1,3,30,205,1.0,1,75,13,False,1.0,2,3,True,500,3,500,1000,True,1,3
240,8544,15,1,6,2,195,0.1,1,300,191,True,1.0,1,2,True,500,1,0,1000,False,2,1
241,6442,1,1,2,30,203,1.8,1,150,14,False,1.5,2,2,True,2000,3,700,250,True,2,4
242,3952,1,1,3,10,201,0.2,6,350,12,False,1.0,1,1,True,1000,1,0,1000,True,3,4
243,1993,1,1,2,75,201,1.0,2,350,14,True,1.5,1,1,True,3000,1,0,1000,False,2,3
244,10327,1,1,6,20,203,1.8,5,250,16,False,1.0,1,1,True,1000,2,1500,100,False,1,2
245,6614,13,1,5,2,198,0.1,2,0,14,True,2.0,2,2,True,500,1,0,25,False,1,3
246,9200,3,1,3,30,203,1.8,2,75,16,False,1.0,1,2,True,1000,3,0,1000,False,1,2
247,10139,15,1,2,5,204,0.5,1,100,16,False,1.0,1,1,True,1000,1,0,1000,True,3,2
248,11792,2,1,2,5,203,0.5,1,100,16,True,2.0,2,3,True,1000,1,0,1000,True,3,3
249,5501,6,1,2,5,191,0.1,1,0,18,True,1.0,1,2,True,1000,1,0,0,True,2,4
250,9881,4,1,6,15,205,1.0,1,300,194,False,1.5,3,4,True,3000,2,600,1000,False,1,4
251,11085,15,1,1,1,198,0.09,2,100,17,True,1.0,1,1,True,1000,1,0,25,True,2,1
252,5311,2,1,1,2,18,0.07,1,150,14,True,1.0,1,3,True,1000,1,0,1000,False,3,1
253,8799,2,2,2,30,203,1.8,4,350,18,True,1.0,1,1,True,0,2,500,25,False,3,1
254,12118,9,1,1,1,1910,0.1,1,0,18,True,1.0,1,1,True,7000,1,0,0,False,2,1
255,267,2,2,3,1,15,0.02,1,0,12,True,1.5,1,1,True,1000,1,0,50,True,2,3
256,13319,10,2,1,1,204,0.2,1,350,1911,True,1.5,1,0,True,100,1,300,1000,False,3,1
257,13565,10,1,2,8,203,1.8,1,350,15,True,1.0,1,2,True,500,3,300,1000,False,3,1
258,12994,15,1,1,1,203,0.2,1,300,15,True,1.0,1,1,True,1000,1,0,1000,False,2,1
259,10086,9,1,2,8,203,0.5,1,350,191,True,1.0,1,2,True,1000,2,300,1000,False,2,1
260,9843,1,1,6,50,203,3.0,1,300,15,False,1.0,2,4,True,1000,5,0,1000,False,3,4
261,5598,15,2,1,20,201,0.5,2,350,17,False,1.0,1,1,True,0,1,700,50,False,1,1
