,id,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,host_since,host_is_superhost,bathrooms,bedrooms,beds,bed_type,cleaning_fee,guests_included,extra_people,maximum_nights,instant_bookable,price,Da_hood_1,Da_hood_2,Da_hood_3,Cancel_flexible,Cancel_moderate,Cancel_strict_14_with_grace_period,Room_Entire home/apt,Room_Hotel room,Room_Private room,Room_Shared room
56,8584,6,2,19,0.2,1,350,16,True,1.0,2,3,True,1000,4,0,500,True,2,1,0,0,0,1,0,1,0,0,0
57,343,3,2,18,0.0,2,350,12,True,1.0,1,1,True,1000,1,1000,500,True,2,0,0,1,0,0,1,0,0,1,0
58,12625,1,2,203,0.5,2,150,19,True,1.0,1,2,True,1000,2,0,500,False,2,0,0,1,1,0,0,1,0,0,0
59,6848,3,2,19,0.5,1,50,17,True,1.0,0,1,True,1000,1,0,0,False,3,0,0,1,0,1,0,1,0,0,0
60,13302,6,2,203,0.5,3,50,18,True,1.0,1,2,True,1000,1,0,500,False,2,1,0,0,0,0,1,1,0,0,0
61,1081,6,0,19,0.0,6,150,11,True,1.0,0,1,True,1000,1,0,100,True,1,0,0,1,0,0,1,1,0,0,0
62,4636,3,15,203,1.0,2,50,17,False,1.5,1,1,True,100,1,0,25,True,3,1,0,0,0,0,1,1,0,0,0
63,5110,6,2,18,0.0,1,0,17,True,1.0,1,1,True,0,1,0,25,True,2,0,0,1,0,1,0,1,0,0,0
64,224,3,50,201,1.0,6,250,12,False,1.5,1,2,True,1000,2,500,500,True,2,0,0,1,0,0,1,1,0,0,0
65,7252,2,50,205,2.0,2,50,13,False,1.0,1,1,True,1000,1,1,25,True,4,1,0,0,1,0,0,1,0,0,0
66,11876,1,2,203,1.0,6,50,14,False,1.5,1,2,True,1000,1,500,500,True,3,0,0,1,0,0,1,1,0,0,0
67,2024,5,15,18,0.2,1,150,15,True,1.0,0,2,True,2400,1,0,500,True,3,0,0,1,0,1,0,1,0,0,0
68,11409,2,2,204,0.5,2,250,18,False,1.0,1,1,True,100,1,0,500,False,1,0,0,1,0,1,0,1,0,0,0
69,4220,5,50,203,2.0,1,50,17,False,1.0,1,3,True,1000,2,1,25,True,3,1,0,0,0,0,1,1,0,0,0
70,11554,1,15,203,2.0,4,150,13,True,1.0,0,1,True,1000,1,0,500,False,3,0,0,1,0,1,0,1,0,0,0
71,9734,2,2,19,0.5,1,50,15,True,1.0,1,1,True,0,1,0,0,True,1,1,0,0,1,0,0,0,0,1,0
72,3963,3,2,17,0.0,2,0,16,True,1.0,1,1,True,100,1,0,25,True,1,0,1,0,0,1,0,1,0,0,0
73,6155,6,15,203,1.0,1,350,18,True,1.0,2,3,True,0,1,0,100,False,2,0,1,0,1,0,0,1,0,0,0
74,5843,3,2,19,0.2,2,150,14,False,1.0,0,1,True,1000,1,1,500,True,2,0,0,1,0,1,0,1,0,0,0
75,6995,4,2,19,0.5,2,350,13,True,1.0,1,1,True,1000,1,0,500,False,4,1,0,0,1,0,0,1,0,0,0
76,6157,3,2,18,0.0,1,350,16,True,1.0,2,2,True,1000,2,1000,25,True,3,0,0,1,1,0,0,1,0,0,0
77,5904,6,2,18,0.2,2,50,18,True,1.0,0,1,True,0,1,0,25,True,1,1,0,0,0,0,1,1,0,0,0
78,5914,3,0,19,0.0,3,50,16,False,2.5,3,5,True,2400,1,0,0,False,4,0,0,1,0,0,1,1,0,0,0
79,3174,6,50,201,1.0,6,250,11,True,1.5,2,1,True,1000,1,0,500,False,2,1,0,0,1,0,0,1,0,0,0
80,6487,3,15,203,1.0,1,150,12,False,1.0,1,1,True,0,1,0,25,False,2,1,0,0,1,0,0,1,0,0,0
81,4764,3,15,19,0.5,6,350,11,False,1.0,1,1,True,1000,2,0,500,True,4,1,0,0,0,0,1,1,0,0,0
82,10157,1,15,203,2.0,6,0,18,False,1.0,1,1,True,1000,2,0,25,False,4,1,0,0,0,0,1,1,0,0,0
83,504,6,15,206,0.5,1,150,11,True,1.0,1,1,True,2400,1,0,25,True,3,1,0,0,1,0,0,1,0,0,0
84,3401,6,2,19,0.0,1,350,16,True,1.0,2,3,True,2400,1,0,500,True,3,1,0,0,0,0,1,1,0,0,0
85,13641,1,2,204,0.5,1,250,19,True,1.0,1,1,True,2400,1,0,500,False,1,0,1,0,0,0,1,1,0,0,0
86,8444,3,15,202,1.0,1,350,18,True,1.0,1,3,True,0,2,500,500,False,3,0,0,1,1,0,0,1,0,0,0
87,10401,4,0,19,0.0,1,0,15,True,1.0,1,1,True,1000,2,0,500,True,2,0,0,1,0,1,0,1,0,0,0
88,7772,1,2,203,0.5,4,250,16,False,1.0,1,3,True,100,2,1,500,False,3,0,0,1,1,0,0,1,0,0,0
89,8554,6,0,204,0.5,1,0,14,True,1.0,0,0,True,1000,1,1000,25,True,2,0,0,1,0,0,1,1,0,0,0
90,3898,1,15,19,0.5,1,250,15,True,1.0,1,2,True,1000,1,0,500,True,1,0,0,1,0,1,0,1,0,0,0
91,6415,2,2,19,0.0,1,150,16,True,1.0,1,3,True,1000,1,0,500,False,4,0,1,0,1,0,0,1,0,0,0
92,11146,2,15,203,2.0,1,50,19,False,1.0,0,1,True,100,1,0,100,False,2,1,0,0,0,1,0,1,0,0,0
93,10908,1,2,201,0.5,1,350,19,False,2.0,3,5,True,2400,5,0,500,False,4,0,0,1,1,0,0,1,0,0,0
94,4691,2,2,201,0.5,1,50,17,False,1.5,2,3,True,1000,1,0,25,False,4,0,1,0,0,0,1,1,0,0,0
95,3200,3,15,19,0.2,1,150,15,True,1.0,1,2,True,2400,1,0,25,True,4,0,0,1,1,0,0,1,0,0,0
96,2054,1,2,203,1.0,4,350,11,True,2.0,2,3,True,2400,4,500,500,False,4,0,0,1,0,0,1,1,0,0,0
97,763,5,2,19,0.0,1,350,11,True,1.5,2,3,True,1000,3,0,100,False,4,1,0,0,0,0,1,1,0,0,0
98,9336,2,2,19,0.2,1,0,19,True,1.0,2,2,True,1000,3,1,25,False,1,0,0,1,0,1,0,1,0,0,0
99,7433,2,15,202,1.0,1,150,18,False,1.0,0,0,True,100,1,0,500,False,1,0,0,1,0,1,0,1,0,0,0
100,11331,6,2,202,1.0,1,150,19,True,1.0,0,1,True,1000,1,0,25,True,3,1,0,0,0,1,0,1,0,0,0
101,10088,1,2,202,0.2,2,50,18,True,1.0,1,1,True,1000,1,0,500,True,2,0,0,1,1,0,0,1,0,0,0
102,2769,3,15,201,0.5,3,50,16,False,1.5,1,0,True,100,1,0,500,True,3,0,1,0,0,0,1,1,0,0,0
103,7426,3,2,18,0.0,2,350,16,True,1.0,0,1,True,100,1,0,25,False,3,1,0,0,1,0,0,1,0,0,0
104,1061,3,2,17,0.0,1,350,14,True,1.0,1,1,True,1000,1,0,100,True,2,0,1,0,0,1,0,1,0,0,0
105,3884,6,50,203,1.0,2,50,16,False,1.0,0,1,True,1000,1,0,500,False,2,1,0,0,0,0,1,1,0,0,0
106,8678,6,0,19,0.0,6,250,11,True,1.0,0,2,True,2400,3,0,500,False,4,1,0,0,1,0,0,1,0,0,0
107,13425,3,2,203,0.5,3,0,16,False,1.0,1,2,True,2400,1,0,500,False,4,1,0,0,0,0,1,1,0,0,0
108,9040,1,2,19,0.2,2,350,16,True,1.0,1,1,True,100,1,0,0,True,1,1,0,0,1,0,0,1,0,0,0
109,9237,2,15,203,1.0,1,150,16,True,1.0,1,1,True,1000,1,0,100,False,2,0,0,1,1,0,0,1,0,0,0
110,3915,2,15,19,0.5,1,50,17,True,2.0,1,1,True,1000,1,0,100,False,4,1,0,0,0,1,0,1,0,0,0
111,780,1,50,203,2.0,3,350,13,True,1.0,1,1,True,1000,1,500,500,True,2,1,0,0,0,0,1,1,0,0,0
112,6904,4,15,203,1.0,1,150,18,True,1.0,0,2,True,1000,1,0,500,True,2,0,0,1,0,0,1,1,0,0,0
113,6299,2,2,18,0.2,1,50,18,True,1.0,1,2,True,0,1,0,0,True,1,0,0,1,1,0,0,0,0,0,1
114,12424,2,15,203,1.0,6,350,15,True,1.0,0,1,True,1000,2,1000,500,True,2,0,0,1,1,0,0,1,0,0,0
115,9111,3,2,201,0.2,1,50,16,True,2.0,3,5,True,0,1,0,25,False,3,0,0,1,0,1,0,1,0,0,0
116,1995,4,15,19,0.5,1,350,15,True,2.0,2,2,True,1000,1,1000,25,True,3,0,0,1,1,0,0,1,0,0,0
117,12813,5,2,203,1.0,4,350,16,False,1.0,1,5,True,2400,1,0,100,False,4,0,0,1,1,0,0,1,0,0,0
118,9756,3,2,203,0.2,3,350,15,True,1.5,1,4,True,1000,2,500,500,False,3,0,0,1,0,0,1,1,0,0,0
119,10751,3,15,202,1.0,1,350,13,False,1.0,1,3,True,1000,1,0,500,False,3,0,1,0,0,1,0,1,0,0,0
120,198,5,2,17,0.0,1,0,12,True,1.0,1,1,True,1000,1,1,25,False,2,0,0,1,0,1,0,1,0,0,0
121,6997,3,15,203,1.0,2,150,13,False,1.0,0,1,True,1000,1,0,25,True,2,1,0,0,0,0,1,1,0,0,0
122,7171,2,50,203,2.0,3,150,17,True,1.0,1,3,True,100,1,0,500,False,2,0,0,1,0,1,0,1,0,0,0
123,7624,2,15,202,2.0,3,350,16,False,1.0,1,1,True,1000,2,1000,25,False,3,1,0,0,0,1,0,1,0,0,0
124,392,3,50,202,1.0,4,350,11,True,1.0,1,0,True,1000,2,1000,100,True,1,0,1,0,0,1,0,1,0,0,0
125,10199,3,15,203,1.0,6,350,13,False,1.0,0,1,True,2400,1,0,100,False,3,1,0,0,0,1,0,1,0,0,0
126,2847,3,2,202,0.5,1,50,16,True,1.0,1,1,True,100,1,0,0,False,2,0,0,1,1,0,0,1,0,0,0
127,1266,6,15,205,2.0,1,250,14,False,1.0,0,1,True,0,2,0,500,False,2,0,1,0,0,0,1,1,0,0,0
128,8776,4,2,201,0.5,1,350,18,True,1.0,1,1,True,0,1,0,25,True,1,0,0,1,1,0,0,1,0,0,0
129,10407,2,0,19,0.0,6,350,12,True,1.0,2,4,True,2400,3,1,500,False,4,1,0,0,1,0,0,1,0,0,0
130,3473,2,2,17,0.0,1,150,16,True,1.0,1,3,True,100,2,1,25,False,1,1,0,0,1,0,0,1,0,0,0
131,3561,3,2,18,0.0,1,0,15,True,1.0,1,2,True,100,2,1,500,True,1,0,0,1,1,0,0,1,0,0,0
132,11631,2,2,203,0.5,1,150,13,True,1.0,2,5,True,1000,1,0,500,True,4,1,0,0,0,1,0,1,0,0,0
133,1820,1,50,203,2.0,5,150,15,True,1.0,0,2,True,0,1,0,500,True,2,0,0,1,0,1,0,1,0,0,0
134,2397,2,50,203,1.0,6,350,12,True,1.0,0,4,True,1000,2,1,500,False,3,1,0,0,0,1,0,1,0,0,0
135,2449,3,15,202,0.2,6,250,14,True,1.0,1,3,True,1000,2,1,500,True,2,1,0,0,0,0,1,1,0,0,0
136,3084,3,15,202,0.5,4,150,16,True,1.0,0,1,True,100,1,0,500,False,1,0,0,1,0,0,1,1,0,0,0
137,2388,6,50,203,1.0,6,350,15,True,1.0,1,1,True,2400,1,0,500,False,1,1,0,0,0,1,0,1,0,0,0
138,4808,6,15,204,0.2,1,350,15,True,1.0,1,1,True,100,1,0,500,True,1,1,0,0,1,0,0,1,0,0,0
139,12555,2,2,202,0.5,2,150,16,True,2.5,2,2,True,1000,1,0,0,True,4,1,0,0,0,0,1,1,0,0,0
140,1030,6,50,204,1.0,6,250,12,False,1.5,0,2,True,1000,1,0,500,True,1,1,0,0,0,0,1,1,0,0,0
141,11585,3,2,206,1.0,1,150,14,False,1.0,1,1,True,0,2,0,100,True,2,1,0,0,1,0,0,1,0,0,0
142,7056,3,15,206,1.0,3,50,18,True,1.0,1,2,True,1000,1,0,500,True,2,1,0,0,1,0,0,1,0,0,0
143,12839,5,2,202,0.5,1,150,12,True,1.0,2,3,True,1000,3,0,25,False,3,0,0,1,0,0,1,1,0,0,0
144,6900,6,0,18,0.0,2,350,16,True,1.0,1,3,True,1000,1,0,100,True,3,0,0,1,1,0,0,1,0,0,0
145,1792,1,50,206,2.0,6,350,14,True,1.0,1,2,True,1000,2,0,500,True,3,0,0,1,0,0,1,1,0,0,0
146,4653,2,15,202,0.5,1,0,15,True,1.0,1,1,True,1000,1,0,500,True,2,0,0,1,0,0,1,1,0,0,0
147,2393,2,2,19,0.0,6,250,12,False,1.0,1,2,True,0,1,1,500,True,1,0,0,1,0,0,1,0,0,1,0
148,8249,3,0,18,0.0,6,0,15,True,1.0,1,1,True,100,1,0,500,True,2,0,0,1,0,0,1,1,0,0,0
149,1282,5,50,205,1.0,3,50,14,False,2.0,2,3,True,1000,5,1,100,False,4,1,0,0,0,1,0,1,0,0,0
150,8144,2,2,19,0.0,1,150,16,False,1.0,1,3,True,1000,3,1,0,True,3,0,0,1,0,1,0,1,0,0,0
151,13263,2,0,201,0.0,1,150,16,True,1.0,2,3,True,1000,1,0,0,True,3,0,0,1,0,1,0,1,0,0,0
152,5398,2,2,19,0.0,1,350,18,True,1.0,0,1,True,1000,1,0,100,False,4,1,0,0,1,0,0,1,0,0,0
153,3037,6,0,18,0.0,2,50,16,True,2.0,1,2,True,1000,1,0,500,True,3,0,0,1,0,0,1,1,0,0,0
154,792,3,15,203,0.2,1,50,13,True,1.0,2,2,True,1000,2,1000,500,True,4,0,0,1,0,1,0,0,0,1,0
155,3158,6,15,203,1.0,1,50,14,False,1.0,1,1,True,1000,1,1,25,True,2,1,0,0,0,1,0,1,0,0,0
156,11428,3,2,19,0.2,1,350,16,True,1.0,1,2,True,100,1,0,500,False,4,1,0,0,1,0,0,1,0,0,0
157,11388,3,2,19,0.2,6,350,12,True,1.0,0,0,True,0,1,0,500,True,4,1,0,0,0,1,0,1,0,0,0
158,2039,6,15,18,0.2,1,0,15,True,1.0,0,1,True,100,1,0,500,True,1,0,0,1,0,0,1,1,0,0,0
159,13567,1,2,202,0.2,1,50,18,True,1.0,1,1,True,1000,1,500,500,False,3,0,0,1,1,0,0,1,0,0,0
160,6560,6,2,19,0.5,1,250,16,True,1.0,2,2,True,2400,1,0,500,True,4,0,1,0,1,0,0,1,0,0,0
161,3539,1,2,19,0.0,1,150,16,True,1.0,1,1,True,1000,1,500,500,True,2,0,0,1,0,0,1,0,0,1,0
162,9011,1,2,19,0.0,1,350,18,True,1.0,0,1,True,100,1,1,500,True,1,0,0,1,1,0,0,1,0,0,0
163,4043,1,50,202,1.0,4,250,16,False,2.0,1,1,True,100,1,1000,25,False,2,0,0,1,0,1,0,0,0,1,0
164,11762,2,15,203,1.0,1,350,19,True,1.0,0,0,True,100,1,0,0,False,1,0,0,1,1,0,0,1,0,0,0
165,4776,1,2,19,0.2,1,0,14,True,1.0,1,1,True,100,1,0,0,False,1,0,0,1,1,0,0,0,0,1,0
166,7894,2,15,203,1.0,3,150,18,True,1.5,1,1,True,0,1,0,500,False,1,0,0,1,0,1,0,0,0,1,0
167,8197,1,2,19,0.2,1,50,17,True,1.0,1,3,True,1000,2,500,100,False,3,0,0,1,0,1,0,1,0,0,0
168,12257,6,2,204,0.2,6,150,16,True,1.5,1,2,True,1000,1,0,500,False,4,0,0,1,1,0,0,1,0,0,0
169,5116,3,2,19,0.0,6,350,16,True,1.0,1,2,True,1000,2,0,500,True,1,1,0,0,0,0,1,1,0,0,0
170,5466,1,15,204,1.0,1,350,18,False,1.0,1,1,True,0,1,0,500,True,1,1,0,0,0,0,1,0,0,1,0
171,8742,2,2,19,0.2,1,150,17,True,1.0,1,1,True,100,1,0,500,False,1,0,0,1,1,0,0,0,0,1,0
172,5936,4,2,204,0.5,2,150,18,False,1.0,1,1,True,0,1,0,500,True,1,0,1,0,0,1,0,1,0,0,0
173,112,2,2,19,0.0,3,150,11,True,0.0,0,1,True,1000,2,500,500,True,1,0,1,0,1,0,0,1,0,0,0
174,4434,1,15,19,1.0,1,350,17,True,1.0,1,1,True,1000,2,0,0,True,4,1,0,0,1,0,0,1,0,0,0
175,6437,3,50,203,2.0,1,350,15,False,1.0,1,0,True,1000,1,0,500,False,1,0,1,0,0,1,0,1,0,0,0
176,4500,5,2,18,0.0,6,350,12,True,1.0,1,2,True,0,1,0,500,True,4,0,0,1,0,1,0,1,0,0,0
177,12616,2,2,201,0.5,1,150,14,True,1.0,0,1,True,1000,2,0,25,False,2,1,0,0,0,0,1,1,0,0,0
178,4227,6,15,204,0.5,1,150,13,False,1.0,1,1,True,0,2,1,500,False,3,1,0,0,0,0,1,1,0,0,0
179,1078,6,2,201,0.0,6,250,12,False,1.0,1,1,True,0,1,0,500,False,3,0,0,1,0,0,1,0,0,1,0
180,5980,1,50,19,2.0,1,350,18,True,1.0,2,3,True,100,1,0,0,False,4,1,0,0,0,0,1,1,0,0,0
181,11542,6,0,19,0.0,2,150,19,True,1.0,1,1,True,100,1,0,500,False,2,0,0,1,0,0,1,1,0,0,0
182,12302,1,2,202,0.5,6,150,19,True,1.0,1,1,True,100,1,0,500,True,4,0,0,1,1,0,0,1,0,0,0
183,1998,4,2,203,0.2,6,50,14,False,1.5,1,1,True,2400,2,1000,500,False,4,0,1,0,1,0,0,1,0,0,0
184,3378,1,50,206,2.0,6,350,11,True,1.0,3,4,True,1000,2,1,500,True,4,1,0,0,0,0,0,1,0,0,0
185,12132,3,0,19,0.0,1,0,19,True,1.0,0,1,True,1000,1,1000,0,True,1,0,0,1,0,0,1,1,0,0,0
186,4941,3,50,19,2.0,2,350,14,False,1.0,1,1,True,1000,1,0,500,True,3,0,0,1,0,1,0,1,0,0,0
187,5420,1,0,18,0.0,1,0,17,True,1.5,1,2,True,1000,1,1000,500,True,1,0,0,1,1,0,0,1,0,0,0
188,4101,2,2,19,0.0,4,350,16,False,2.0,3,3,True,1000,5,1,0,True,4,0,0,1,0,1,0,1,0,0,0
189,8805,4,15,201,1.0,2,150,16,False,1.0,1,2,True,1000,2,0,500,True,3,0,1,0,0,1,0,1,0,0,0
190,4657,3,15,19,0.2,4,350,11,True,1.0,1,1,True,100,2,1,500,False,1,0,0,1,0,1,0,1,0,0,0
191,12686,2,2,203,1.0,6,150,13,True,1.0,1,1,True,1000,1,0,0,False,2,1,0,0,0,0,1,1,0,0,0
192,7934,5,2,205,0.2,6,350,16,True,1.0,0,0,True,1000,2,1000,25,True,3,1,0,0,0,0,1,1,0,0,0
193,9123,5,2,202,0.2,1,150,17,True,1.0,1,1,True,1000,1,1,100,False,3,0,0,1,0,1,0,1,0,0,0
194,8018,3,15,201,0.5,5,0,15,True,1.0,0,1,True,100,1,1,500,True,1,0,0,1,1,0,0,1,0,0,0
195,813,2,50,203,2.0,2,350,13,False,1.0,2,4,True,1000,5,1000,500,True,4,1,0,0,0,0,1,1,0,0,0
196,11131,3,15,203,1.0,6,0,11,False,1.0,1,2,True,1000,2,500,25,True,2,0,0,1,0,0,1,1,0,0,0
197,3697,6,50,203,2.0,5,350,15,False,1.0,1,1,True,1000,2,1,100,False,1,0,1,0,0,1,0,1,0,0,0
198,4662,1,50,203,1.0,3,50,13,True,1.0,1,4,True,100,2,500,25,True,2,0,1,0,0,0,1,1,0,0,0
199,10662,3,2,203,0.5,1,350,19,True,1.0,0,1,True,1000,1,0,500,True,3,0,1,0,0,1,0,1,0,0,0
200,7755,1,2,19,0.2,1,150,17,True,1.0,0,1,True,1000,1,0,500,True,1,0,0,1,1,0,0,1,0,0,0
201,1420,4,2,17,0.0,1,0,14,True,1.0,1,1,True,100,1,1,500,True,1,0,0,1,0,1,0,1,0,0,0
202,263,3,2,201,0.2,1,150,12,False,1.0,1,2,True,2400,1,0,100,False,4,0,1,0,0,0,1,1,0,0,0
203,3093,1,2,18,0.0,1,50,16,True,2.0,1,1,True,100,1,500,0,False,1,1,0,0,1,0,0,0,0,1,0
204,8147,2,50,202,2.0,1,0,17,False,1.5,1,1,True,100,1,0,25,False,3,1,0,0,0,1,0,1,0,0,0
205,7583,2,2,201,0.5,6,350,14,True,1.0,0,1,True,1000,1,0,25,False,2,1,0,0,1,0,0,1,0,0,0
